gene_id	gene_name
ENSG00000183032	SLC25A21
ENSG00000173610	UGT2A1
ENSG00000144560	VGLL4
ENSG00000030582	GRN
ENSG00000106460	TMEM106B
ENSG00000069431	ABCC9
ENSG00000197584	KCNMB2
ENSG00000089280	FUS
ENSG00000142168	SOD1
ENSG00000120948	TARDBP
ENSG00000147894	C9orf72
ENSG00000183735	TBK1
ENSG00000165280	VCP
ENSG00000204290	BTNL2
ENSG00000109861	CTSC
ENSG00000130226	DPP6
ENSG00000237541	HLA-DQA2
ENSG00000184903	IMMP2L
ENSG00000168310	IRF2
ENSG00000264406	MIR548AP
ENSG00000130558	OLFM1
ENSG00000123892	RAB38
ENSG00000134533	RERG
ENSG00000130477	UNC13A
ENSG00000172456	FGGY
ENSG00000123104	ITPR2
ENSG00000155980	KIF5A
ENSG00000168314	MOBP
ENSG00000092108	SCFD1
ENSG00000116539	ASH1L
ENSG00000143442	POGZ
ENSG00000136531	SCN2A
ENSG00000114861	FOXP1
ENSG00000157103	SLC6A1
ENSG00000168036	CTNNB1
ENSG00000145362	ANK2
ENSG00000049618	ARID1B
ENSG00000197283	SYNGAP1
ENSG00000146830	GIGYF1
ENSG00000171862	PTEN
ENSG00000177030	DEAF1
ENSG00000110066	KMT5B
ENSG00000273079	GRIN2B
ENSG00000123066	MED13L
ENSG00000100888	CHD8
ENSG00000173575	CHD2
ENSG00000132510	KDM6B
ENSG00000167522	ANKRD11
ENSG00000146872	TLK2
ENSG00000171587	DSCAM
ENSG00000251322	SHANK3
ENSG00000101126	ADNP
ENSG00000184588	PDE4B
ENSG00000115207	GTF3C2
ENSG00000138002	IFT172
ENSG00000084734	GCKR
ENSG00000221843	C2orf16
ENSG00000154822	PLCL2
ENSG00000114302	PRKAR2A
ENSG00000178537	SLC25A20
ENSG00000177479	ARIH2
ENSG00000178467	P4HTM
ENSG00000178252	WDR6
ENSG00000198218	QRICH1
ENSG00000172046	USP19
ENSG00000236980	C3orf84
ENSG00000114316	USP4
ENSG00000067560	RHOA
ENSG00000145029	NICN1
ENSG00000173402	DAG1
ENSG00000087274	ADD1
ENSG00000087269	NOP14
ENSG00000153064	BANK1
ENSG00000119414	PPP6C
ENSG00000110693	SOX6
ENSG00000176697	BDNF
ENSG00000109919	MTCH2
ENSG00000156599	ZDHHC5
ENSG00000213593	TMX2
ENSG00000198561	CTNND1
ENSG00000170209	ANKK1
ENSG00000149295	DRD2
ENSG00000032219	ARID4A
ENSG00000088808	PPP1R13B
ENSG00000137872	SEMA6D
ENSG00000140718	FTO
ENSG00000134243	SORT1
ENSG00000203710	CR1
ENSG00000151694	ADAM17
ENSG00000115825	PRKD3
ENSG00000071051	NCK2
ENSG00000136717	BIN1
ENSG00000138442	WDR12
ENSG00000168918	INPP5D
ENSG00000196549	MME
ENSG00000127415	IDUA
ENSG00000109684	CLNK
ENSG00000168421	RHOH
ENSG00000154122	ANKH
ENSG00000127184	COX7C
ENSG00000145901	TNIP1
ENSG00000146090	RASGEF1C
ENSG00000196735	HLA-DQA1
ENSG00000124602	UNC5CL
ENSG00000095970	TREM2
ENSG00000112195	TREML2
ENSG00000198087	CD2AP
ENSG00000249853	HS3ST5
ENSG00000219545	UMAD1
ENSG00000003147	ICA1
ENSG00000153814	JAZF1
ENSG00000086289	EPDR1
ENSG00000132432	SEC61G
ENSG00000214300	SPDYE3
ENSG00000146904	EPHA1
ENSG00000164733	CTSB
ENSG00000120899	PTK2B
ENSG00000120885	CLU
ENSG00000179526	SHARPIN
ENSG00000165029	ABCA1
ENSG00000148429	USP6NL
ENSG00000151150	ANK3
ENSG00000108219	TSPAN14
ENSG00000095585	BLNK
ENSG00000107679	PLEKHA1
ENSG00000066336	SPI1
ENSG00000110079	MS4A4A
ENSG00000074266	EED
ENSG00000137642	SORL1
ENSG00000186815	TPCN1
ENSG00000073712	FERMT2
ENSG00000140090	SLC24A4
ENSG00000138600	SPPL2A
ENSG00000128923	MINDY2
ENSG00000138613	APH1B
ENSG00000028528	SNX1
ENSG00000103811	CTSH
ENSG00000149927	DOC2A
ENSG00000157368	IL34
ENSG00000178573	MAF
ENSG00000197943	PLCG2
ENSG00000103241	FOXF1
ENSG00000126856	PRDM7
ENSG00000167716	WDR81
ENSG00000161929	SCIMP
ENSG00000091536	MYO15A
ENSG00000108379	WNT3
ENSG00000108798	ABI3
ENSG00000005379	TSPOAP1
ENSG00000064687	ABCA7
ENSG00000129911	KLF16
ENSG00000161640	SIGLEC11
ENSG00000131042	LILRB2
ENSG00000125826	RBCK1
ENSG00000087589	CASS4
ENSG00000125520	SLC2A4RG
ENSG00000142192	APP
ENSG00000154734	ADAMTS1
ENSG00000143801	PSEN2
ENSG00000080815	PSEN1
